N,P,K,temperature,humidity,ph,rainfall,label
95.64,18.51,56.06,25.01,91.66,6.38,24.49,muskmelon
99.23,17.06,45.33,25.16,89.19,6.63,50.25,watermelon
36.85,57.17,49.64,32.23,92.29,6.85,156.06,papaya
52.5,64.37,54.07,33.38,89.82,6.04,142.06,papaya
13.33,141.92,188.46,20.03,91.77,5.93,116.97,apple
23.57,26.18,28.84,31.89,54.08,6.18,105.4,mango
22.62,148.45,214.9,20.06,88.11,6.51,142.23,apple
14.26,38.42,46.41,23.73,58.06,3.45,75.94,mothbeans
21.44,44.31,22.62,25.86,91.16,6.33,49.75,mungbean
17.43,65.13,18.16,25.16,71.06,6.71,45.79,lentil
43.67,57.54,20.25,27.62,64.01,7.16,68.91,blackgram
22.4,18.7,27.68,26.08,95.58,5.98,158.69,coconut
22.01,17.75,41.53,21.12,90.55,6.83,105.82,pomegranate
91.67,55.1,42.34,27.28,71.1,6.46,166.54,jute
22.75,16.0,29.39,27.97,93.17,5.64,185.98,coconut
22.21,17.09,46.73,21.61,94.41,6.69,115.49,pomegranate
20.99,125.44,207.24,21.2,87.02,6.0,101.6,apple
80.24,54.14,15.16,25.35,67.1,6.29,59.44,maize
42.37,55.98,51.1,35.35,92.32,6.8,140.94,papaya
101.67,13.18,50.07,28.77,91.69,6.51,25.5,muskmelon
87.76,27.43,36.08,22.73,58.4,7.36,164.48,coffee
45.77,63.23,50.09,32.96,93.24,6.48,155.57,papaya
15.33,13.25,7.54,22.67,92.58,7.12,117.15,orange
55.92,60.98,45.83,36.13,92.04,6.71,127.96,papaya
44.76,75.06,85.57,21.28,18.23,7.02,63.98,chickpea
73.53,45.74,42.9,26.34,76.22,6.4,158.5,jute
20.18,49.79,27.43,27.04,86.97,6.06,28.86,mungbean
19.03,17.28,7.06,26.27,91.33,6.91,105.84,orange
20.78,66.51,21.74,22.94,51.41,5.74,146.66,pigeonpeas
86.32,33.11,35.31,23.52,83.54,6.15,277.05,rice
17.34,13.68,44.79,24.26,84.16,6.99,97.27,pomegranate
22.56,45.62,44.43,25.4,54.16,3.27,32.48,mothbeans
75.07,46.91,38.94,25.5,82.72,6.35,173.84,jute
23.64,70.6,18.02,21.15,65.97,7.15,39.95,lentil
79.48,45.73,33.52,26.74,82.97,6.5,187.73,jute
38.17,58.64,27.14,30.94,63.54,7.4,58.27,blackgram
82.81,46.5,50.89,24.12,76.4,6.83,162.85,jute
35.4,54.35,77.57,20.2,21.88,6.63,84.97,chickpea
